"kurtas/aks/aks-women-cream-coloured--green-printed-straight-kurta/1945087/buy","Cream-coloured and green printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits, button placket on the front","Cotton  Machine-wash"
"kurtas/aks/aks-women-green-cold-shoulder-striped-straight-kurta/2111512/buy","Green and off-white printed straight kurta, has a round neck, cold-shoulder three-quarter sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-navy-printed-straight-kurta/2095543/buy","Navy blue solid straight kurta, has a mandarin collar, three-quarter sleeve, side slits","Rayon  Machine-wash"
"kurtas/aks/aks-women-blue-printed-a-line-kurta/2262305/buy","Blue printed A-line kurta, has a keyhole neck, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/aks/aks-women-navy-blue--red-printed-a-line-kurta/2250034/buy","Navy blue, red and off-white printed A-line kurta, has a round neck with button closures, short sleeves, flared hem, front slit","Cotton Machine-wash"
"kurtas/aks/aks-women-navy-blue--rust-red-printed-anarkali-kurta/2262267/buy","Navy and rust red printed Anarkali kurta, has a round neck, short sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-blue--pink-floral-print-anarkali-kurta/2095562/buy","Blue and pink printed Anarkali kurta, has a mandarin collar with a short button placket, three-quarter sleeves, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-green--orange-printed-cold-shoulder-straight-kurta/2111375/buy","Green and orange printed straight kurta, has a round neck with tie-up detail, short sleeves, straight hem, side slits","Rayon Machine-wash"
"kurtas/aks/aks-women-black--yellow-striped-detail-a-line-kurta/2448925/buy","Black and yellow striped detail panelled A-line kurta with mirror-work and patch-work with tassel detail, has a round neck, short sleeves, and a flared hem","CottonMachine-wash cold"
"kurtas/aks/aks-women-grey--off-white-printed-straight-kurta/2111367/buy","Grey and off-white printed straight kurta, has a round neck, sleeveless, a full mock placket detail with button-and-loop closures, a straight hem, and multiple slits","Cotton Machine-wash cold"
"kurtas/aks/aks-women-navy--off-white-printed-straight-kurta/2493380/buy","Navy, off-white and red printed straight kurta, has a round neck, short sleeves, curved hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-red--beige-printed-anarkali-kurta/2111398/buy","Red and beige printed Anarkali kurta, has a round neck, three-quarter sleeves, curved hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-coral-pink-embellished-anarkali-kurta/2111403/buy","Coral pink embellished Anarkali kurta, has a round neck, short sleeves, flared hem","ViscoseDry-clean"
"kurtas/aks/aks-women-blue--white-printed-straight-kurta/2493426/buy","Blue and white printed straight kurta, has a stylised V-neck, sleeveless, straight hem, side slits","Cotton Machine-wash"
"kurtas/aks/aks-women-cream-coloured--blue-printed-anarkali-kurta/2024442/buy","Cream-coloured and blue printed Anarkali kurta, has a V-neck, short sleeves, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-grey-printed-straight-kurta/2094956/buy","Grey printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-yellow--black-colourblocked-layered-a-line-kurta/2448894/buy","Yellow and black colourblocked A-line kurta, has a round neck, long sleeves, straight hem, no slits","Crepe  Machine-wash"
"kurtas/aks/aks-women-mustard-yellow--blue-printed-straight-kurta/2448945/buy","Mustard yellow and blue printed straight kurta, has a tie-up neckline, three-quarter bell sleeves, a straight hem, and side slits","CottonMachine-wash cold"
"kurtas/aks/aks-women-burgundy-floral-print-anarkali-kurta/2082410/buy","Burgundy floral print Anarkali kurta with empire-line detail, has a round neck, short sleeve, flared hem","Cotton Machine-wash"
"kurtas/aks/aks-women-navy-embroidered-anarkali-kurta/2024408/buy","Navy embroidered Anarkali kurta with mirror-work detail, has a round neck, sleeveless, and a flared hem","Cotton Machine-wash cold"
"kurtas/aks/aks-women-blue--white-printed-anarkali-kurta/1945077/buy","Blue and white printed Anarkali kurta, has a round neck, three-quarter sleeves, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-mustard-yellow-printed-angrakha-kurta/2111535/buy","Mustard yellow printed Angrakha kurta, has a V-neck, short sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-olive-green--white-printed-straight-kurta/2250072/buy","Olive Green and white printed straight kurta, has a mandarin collar, short sleeves, straight hem, side slits","Viscose Rayon  Machine-wash"
"kurtas/aks/aks-women-navy-blue--white-printed-a-line-kurta/2463704/buy","Navy and white printed A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, front slit","Cotton  Machine-wash"
"kurtas/aks/aks-women-navy-blue-printed-anarkali-kurta/2082351/buy","Navy Blue printed anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-navy-blue--cream-coloured-khari-print-straight-kurta/2249967/buy","Navy blue and cream-coloured khari print straight kurta, has a mandarin collar, button placket, short sleeves, straight hem and multiple slits","CottonDry-clean"
"kurtas/aks/aks-women-white-yoke-design-straight-kurta/2448938/buy","White and blue yoke design straight kurta with handblock print detail, has a round neck, three-quarter sleeves, straight hem, side slits","Cotton  Dry-clean"
"kurtas/aks/aks-women-pink-printed-anarkali-kurta/2095038/buy","Pink printed Anarkali kurta, has a V-neck, three-quarter sleeves, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-blue--off-white-printed-a-line-kurta/2024411/buy","Blue and off-white printed A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, front slit","Cotton  Machine-wash"
"kurtas/aks/aks-women-grey--off-white-printed-a-line-kurta/2249974/buy","Grey and off-white printed A-line kurta, has a shirt collar, short sleeves, flared hem, front slit","Cotton  Machine-wash"
"kurtas/aks/aks-women-red-printed-pathani-kurta/2095050/buy","Red and beige printed Pathani kurta, has a shirt collar, full button placket, three-quarter sleeves, multiple slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-green-yoke-design-anarkali-kurta/2382476/buy","Green yoke design Anarkali kurta, has a stylised mandarin collar, short sleeves, a tie-up detail on the front with tassels, curved and flared hem, no slits","Chanderi silkDry-clean"
"kurtas/aks/aks-women-blue-yoke-design-straight-kurta/2249987/buy","Blue and maroon yoke design straight kurta, has a round neck, short sleeves, a straight hem, and side slits","CottonMachine-wash cold"
"kurtas/aks/aks-women-mustard-yellow-solid-straight-kurta/1945065/buy","Mustard yellow solid straight kurta, has a round neck, sleeveless, straight hem, side slits","Cotton Machine-wash cold"
"kurtas/aks/aks-women-yellow-floral-print-straight-kurta/2382498/buy","Yellow floral print straight kurta, has a V-neck, three-quarter layered bell sleeves, straight hem, side slits","ayonMachine-wash"
"kurtas/aks/aks-women-navy-blue--rust-red-yoke-design-anarkali-kurta/2262289/buy","Navy blue and rust red yoke design Anarkali kurta, has a round neck, short sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/aks/aks-women-yellow--grey-checked-cold-shoulder-straight-kurta/2111511/buy","Yellow checked straight kurta, has a round neck, three-quarter cold shoulder sleeves, straight hem with fringed, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-yellow--blue-printed-layered-anarkali-kurta/2024455/buy","Yellow and blue printed layered Anarkali kurta, has a round neck, three-quarter sleeves, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-navy-printed-a-line-kurta/2024425/buy","Navy and white printed A-line kurta, has a round neck, three-quarter flared sleeves, flared hem","Crepe  Machine-wash"
"kurtas/aks/aks-women-yellow--red-embroidered-anarkali-kurta/2262338/buy","Yellow and red embroidered Anarkali kurta, has a round neck, short sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-rust-red--beige-printed-straight-kurta/2250026/buy","Rust red and beige printed straight kurta, has a mandarin collar, three-quarter sleeves, curved hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-red--navy-colourblocked-straight-kurta/2082389/buy","Red and navy solid straight kurta, has a round neck, three-quarter sleeve, straight hem, side slits","Rayon  Hand-wash"
"kurtas/aks/aks-women-turquoise-blue-solid-anarkali-kurta/2382479/buy","Turquoise blue solid Anarkali kurta, has a V-neck, short sleeves, flared hem","Chanderi silkMachine-wash"
"kurtas/aks/aks-women-mustard-yellow--maroon-printed-a-line-kurta/2250103/buy","Mustard yellow and maroon printed A-line kurta, has a round neck, short sleeves, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-pink-solid-straight-kurta/1951416/buy","Pink and beige solid straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Viscose rayon  Machine-wash"
"kurtas/aks/aks-women-grey-solid-straight-kurta/2262271/buy","Grey solid straight kurta, has a V-neck, short sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-black-printed-a-line-kurta/2250028/buy","Black printed A-line kurta, has a round neck, short sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-blue-solid-anarkali-kurta/2082322/buy","Blue solid Anarkali kurta, has a mandarin collar, three-quarter sleeves, flared hem","Cotton  Hand-wash"
"kurtas/aks/aks-women-red-printed-detail-a-line-kurta/2249980/buy","Red A-line kurta with printed detail, has a round neck, short sleeves, asymmetric hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-white--mustard-yellow-printed-straight-kurta/2448864/buy","White and mustard yellow printed straight kurta, has a round neck, sleeveless, a straight hem, side slits, and a solid back","RayonMachine-wash cold"
"kurtas/aks/aks-women-navy-printed-detail-straight-kurta/2111515/buy","Navy and red printed detail straight kurta with tassels, has a round neck, a patch pocket, short sleeves, straight hem, side slits","Cotton Machine-wash"
"kurtas/aks/aks-women-grey--off-white-screen-print-a-line-kurta/2249976/buy","Grey and off-white screen print A-line kurta, has a cowl neck, short sleeves, asymmetric hem, no slits","Cotton Machine-wash"
"kurtas/aks/aks-women-green-embroidered-straight-kurta/2382480/buy","Green embroidered detail straight kurta, has a stylised mandarin collar with a concealed hook-and-eye closure, three-quarter sleeves, straight hem, multiple slits","Chanderi silkMachine-wash"
"kurtas/aks/aks-women-green--peach-coloured-floral-print-off-shoulder-straight-kurta/2111396/buy","Green and peach-coloured printed layered pff-shoulder straight kurta, has a hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-yellow-embroidered-straight-kurta/2382482/buy","Yellow embroidered straight kurta, has a round neck with a short concealed hook-and-eye placket, three-quarter sleeves, straight hem, side slits","Chanderi Silk  Machine-wash"
"kurtas/aks/aks-women-green-printed-cold-shoulder-straight-kurta/2111372/buy","Green and orange printed straight kurta, has a square neck, short cold-shoulder sleeves, straight hem, side slits","Rayon  Machine-wash"
"kurtas/aks/aks-women-grey--blue-printed-straight-kurta/2493377/buy","Grey and blue printed straight kurta, has a keyhole neck, short sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-off-white--blue-printed-high-low-a-line-kurta/2463727/buy","Off-white, blue and green printed A-line kurta, has a mandarin collar, short sleeves, button placket, high-low flared hem, front slit","Polyester georgetteMachine-wash"
"kurtas/aks/aks-women-pink--cream-coloured-printed-a-line-kurta/2167344/buy","Pink and cream-coloured printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-navy-blue-printed-detail-a-line-kurta/2250046/buy","Navy blue printed A-line kurta with pleated detail, has a round neck with tie-up detail, short sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/aks/aks-women-white-embroidered-detail-chanderi-silk-straight-kurta/2382483/buy","White embroidered detail straight kurta, has a round neck with concealed hook-and-eye closures, three-quarter sleeves, straight hem, side slits","Chanderi silkMachine-wash"
"kurtas/aks/aks-women-green--orange-floral-print-a-line-kurta/2493425/buy","Green and orange printed A-line kurta, has a V-neck, three-quarter sleeves, flared hem","ViscoseMachine-wash"
"kurtas/aks/aks-women-blue--off-white-ethnic-print-straight-kurta/2382499/buy","Blue and off-white ethnic print straight kurta, has a round neck, long flared sleeves with tie-up detail, straight hem, side slits","Cotton Machine-wash"
"kurtas/aks/aks-women-cream-coloured--blue-printed-straight-kurta/2448872/buy","Cream-coloured and blue printed straight kurta, has a round neck, short sleeves, straight hem, side slits, 2 pockets","Cotton Machine-wash"
"kurtas/aks/aks-women-navy-blue-embroidered-straight-kurta/1945064/buy","Navy blue embroidered straight kurta, has a mandarin collar, short button placket, three-quarter sleeves, straight hem, side slits","Viscose  Machine-wash"
"kurtas/aks/aks-women-mustard--maroon-printed-a-line-kurta-with-ethnic-jacket/2250061/buy","Mustard and maroon printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slitsComes with a maroon printed jacket","Cotton  Machine-wash"
"kurtas/aks/aks-women-brown--pink-floral-print-off-shoulder-straight-kurta/2111397/buy","Brown printed off-shoulder layered straight kurta, has a straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-green--peach-coloured-printed-straight-kurta/2111395/buy","Green and peach-coloured printed straight kurta, has a round neck, short sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-maroon-solid-fringed-a-line-kurta/2111536/buy","Maroon solid fringed A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem","Cotton  Machine-wash"
"kurtas/aks/aks-women-grey--brown-printed-a-line-kurta/2111534/buy","Grey and brown printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Viscose Machine-wash"
"kurtas/aks/aks-women-peach-coloured-solid-a-line-kurta/2111420/buy","Peach-coloured solid A-line kurta with printed detail on the back, has a shirt collar, three-quarter sleeves, flared hem, no slits","Cotton  Dry-clean"
"kurtas/aks/aks-women-brown--cream-coloured-printed-anarkali-kurta/2262288/buy","Brown and cream-coloured printed Anarkali kurta with tie-ups, has a round neck, short sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-coral-pink--peach-coloured-printed-cold-shoulder-straight-kurta/2111513/buy","Coral pink and peach-coloured printed straight kurta with fringes, has a round neck, three-quarter cold-shoulder sleeves, straight hem, side slits","Cotton  Machine-wash cold"
"kurtas/aks/aks-women-navy-blue--white-embroidered-detail-a-line-kurta/2463709/buy","Navy and white embroidered detail A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/aks/aks-women-blue--magenta-printed-off-shoulder-anarkali-kurta/2111532/buy","Blue and magenta printed Anarkali kurta, has an off-shoulder neck, short sleeves, flared hem","Viscose Machine-wash"
"kurtas/aks/aks-women-blue--off-white-printed-straight-kurta/2249986/buy","Blue, off-white and grey printed straight kurta, has a round neck, three-quarter sleeves, slits on the shoulder, button closures on the back, straight hem, side slits","Cotton Machine-wash"
